一	4e00.a
乖	5343.a,5317.m
乗	4e56.a,4eba.m
乘	4e56.a,4eba.m
乙	4e59.a
乜	4e5a.a,200cc.m
九	4e3f.a,31c8.m
乞	20089.d,4e59.e
也	2ffb.2ffa.4e5a.4e28.200cc.a,200cc.m
习	200cc.a,51ab.k
乡	200cb.a,20088.j
乢	5c71.b,4e5a.c
书	2ffa.2ffb.4e28.2ff1.200cd.200cc.4e36.a,4e36.l
乩	5360.b,4e5a.c
买	4e5b.d,5934.e
乱	820c.b,4e5a.c
乳	5b5a.b,4e5a.c
乸	4e5f.a,6bcd.l
乾	2099d.b,4e5e.c
亀	9f9f.a,65e5.m
亂	24514.b,4e5a.c
亅	4e85.a
了	4e86.a
予	9fb4.d,20110.e
争	5b.31.3a.5d.4e87.a,2e95.m
亊	2ceb0.a,2ffb.2ceb0.2ff1.4e37.2e95.m
事	2ceb0.a,2ffb.2ceb0.2ff1.53e3.2e95.m
二	4e00.d,4e00.e
亍	4e00.d,4e01.e
于	4e00.d,2ceb0.e
亏	4e8c.d,31c9.e
云	4e8c.d,53b6.e
互	4e00.d,5f51.e
亓	4e00.d,4e0c.e
五	4e00.d,2b740.e
井	5efe.a,4e00.m
亘	4e00.d,65e6.e
亙	4e00.d,2ff1.2ff3.4e00.2ff5.20061.2e80.4e004e00.e#
亚	4e00.d,4e1a.e
些	6b64.d,4e8c.e
亜	2cec7.d,4e00.e
亞	4e00.d,2ff1.2ff3.4e00.2ff0.23.28.4e28.2d.4e00.200d1.29.23.28.200d1.2d.4e00.4e28.29.4e004e00.e#
亟	2cf36.a,53f9.m
亠	4e36.d,4e00.e
亡	4ea0.d,200ca.e
亢	4ea0.d,51e0.e
交	4ea0.d,7236.e
亥	4e36.d,20014.e
亦	4ea0.d,2ff1.4ea0.2ff0.4e3f.5c0f.e
产	4ea0.d,2ff1.4e375382.e#
亨	4ea0.d,2ff1.53e34e86.e#
亩	4ea0.d,7530.e
享	4ea0.d,20bc2.e
京	4ea0.d,31483.e
亭	4ea0.d,2ff1.53e32ff3.4ea0.53e3.2ff1.5196.4e01.e#
亮	4ea0.d,2ff1.53e35197.e#
亰	23140.d,5c0f.e
亲	7acb.d,6729.e
亳	4ea0.d,2ff1.53e32ff3.4ea0.53e3.2ff1.5196.4e47.e#
亵	8863.a,6267.f
亶	342d.d,65e6.e
亸	4eab.b,5355.c
亹	4ea0.d,820b.e
人	4eba.a
亻	4e3f.d,4e28.e
亿	4ebb.b,4e59.c
什	4ebb.b,5341.c
仁	4ebb.b,4e8c.c
仂	4ebb.b,529b.c
仃	4ebb.b,4e01.c
仄	5382.a,4eba.j
仅	4ebb.b,53c8.c
仆	4ebb.b,535c.c
仇	4ebb.b,4e5d.c
仉	4ebb.b,51e0.c
今	4ebd.d,200cd.e
介	4eba.d,2ff1.4eba.2ff0.4e3f.4e28.e
仍	4ebb.b,4e43.c
从	4eba.b,4eba.c
仏	4ebb.b,53b6.c
仑	4eba.d,5315.e
仓	4eba.d,353e.e
仔	4ebb.b,5b50.c
仕	4ebb.b,58eb.c
他	4ebb.b,4e5f.c
仗	4ebb.b,4e08.c
付	4ebb.b,5bf8.c
仙	4ebb.b,5c71.c
仝	4eba.d,5de5.e
仞	4ebb.b,5203.c
仟	4ebb.b,5343.c
仡	4ebb.b,4e5e.c
代	4ebb.b,5f0b.c
令	4ebd.d,9fb4.e
以	2010c.b,2ff0.4e364eba.c#
仨	4ebb.b,4e09.c
仪	4ebb.b,4e49.c
仫	4ebb.b,4e48.c
们	4ebb.b,95e8.c
仭	4ebb.b,5203.c
仮	4ebb.b,53cd.c
仰	4ebb.b,536c.c
仲	4ebb.b,4e2d.c
仳	4ebb.b,6bd4.c
仵	4ebb.b,5348.c
件	4ebb.b,725b.c
价	4ebb.b,4ecb.c
任	4ebb.b,58ec.c
份	4ebb.b,5206.c
仿	4ebb.b,65b9.c
企	4eba.d,6b62.e
伈	4ebb.b,5fc3.c
伉	4ebb.b,4ea2.c
伊	4ebb.b,5c39.c
伋	4ebb.b,53ca.c
伍	4ebb.b,4e94.c
伎	4ebb.b,652f.c
伏	4ebb.b,72ac.c
伐	4ebb.b,6208.c
休	4ebb.b,6728.c
众	4eba.d,4ece.e
优	4ebb.b,5c24.c
伙	4ebb.b,706b.c
会	4eba.d,4e91.e
伛	4ebb.b,533a.c
伜	4ebb.b,5346.c
伝	4ebb.b,4e91.c
伞	4e2a.a,4491.m
伟	4ebb.b,97e6.c
传	4ebb.b,4e13.c
伢	4ebb.b,7259.c
伣	4ebb.b,89c1.c
伤	4ebb.b,31429.c
伥	4ebb.b,957f.c
伦	4ebb.b,4ed1.c
伧	4ebb.b,4ed3.c
伪	4ebb.b,4e3a.c
伫	4ebb.b,3749.c
伭	4ebb.b,7384.c
伯	4ebb.b,767d.c
估	4ebb.b,53e4.c
伲	4ebb.b,5c3c.c
伴	4ebb.b,534a.c
伶	4ebb.b,4ee4.c
伸	4ebb.b,7533.c
伺	4ebb.b,53f8.c
似	4ebb.b,4ee5.c
伽	4ebb.b,52a0.c
伾	4ebb.b,4e15.c
佁	4ebb.b,53f0.c
佃	4ebb.b,7530.c
但	4ebb.b,65e6.c
佇	4ebb.b,5b81.c
位	4ebb.b,7acb.c
低	4ebb.b,6c10.c
住	4ebb.b,4e3b.c
佐	4ebb.b,5de6.c
佑	4ebb.b,53f3.c
体	4ebb.b,672c.c
何	4ebb.b,53ef.c
佖	4ebb.b,5fc5.c
佗	4ebb.b,5b83.c
佘	4eba.d,793a.e
余	4ebc.d,6729.e
佚	4ebb.b,5931.c
佛	4ebb.b,5f17.c
作	4ebb.b,4e4d.c
佝	4ebb.b,53e5.c
佞	4ebb.b,216ac.c
佟	4ebb.b,51ac.c
你	4ebb.b,5c14.c
佣	4ebb.b,7528.c
佤	4ebb.b,74e6.c
佥	4ebc.d,2ff1.2d5444e00.e#
佧	4ebb.b,5361.c
佩	4ebb.b,2b95e.c
佬	4ebb.b,8001.c
佯	4ebb.b,7f8a.c
佰	4ebb.b,767e.c
佳	4ebb.b,572d.c
佴	4ebb.b,8033.c
併	4ebb.b,5e76.c
佶	4ebb.b,5409.c
佸	4ebb.b,820c.c
佺	4ebb.b,5168.c
佻	4ebb.b,5146.c
佼	4ebb.b,4ea4.c
佽	4ebb.b,6b21.c
佾	4ebb.b,43cc.c
使	4ebb.b,540f.c
侁	4ebb.b,5148.c
侂	4ebb.b,386f.c
侃	4ebb.b,2ff0.4ebb.2ff1.53e3.2bda7.c
侄	4ebb.b,81f3.c
來	5341.a,2ffb.5341.2ff1.4ece.4eba.m
侈	4ebb.b,591a.c
侉	4ebb.b,5938.c
例	4ebb.b,5217.c
侍	4ebb.b,5bfa.c
侏	4ebb.b,6731.c
侑	4ebb.b,6709.c
侔	4ebb.b,725f.c
侖	4ebc.d,20541.e
侗	4ebb.b,540c.c
侘	4ebb.b,5b85.c
供	4ebb.b,5171.c
依	4ebb.b,8863.c
侠	4ebb.b,5939.c
価	4ebb.b,8980.c
侣	4ebb.b,5415.c
侥	4ebb.b,5c27.c
侦	4ebb.b,8d1e.c
侧	4ebb.b,5219.c
侨	4ebb.b,4e54.c
侩	4ebb.b,4f1a.c
侪	4ebb.b,9f50.c
侫	4ebb.b,5984.c
侬	4ebb.b,519c.c
侭	4ebb.b,5c3d.c
侮	4ebb.b,6bcf.c
侯	4ebb.b,2ff0.4ebb.2ff1.30e6.77e2.c
侴	4ebc.d,2ff1.4ebc.2ff0.4e11.5202.e
侵	4ebb.b,20b36.c
侶	4ebb.b,5415.c
侹	4ebb.b,5ef7.c
便	4ebb.b,66f4.c
係	4ebb.b,7cfb.c
促	4ebb.b,8db3.c
俄	4ebb.b,6211.c
俅	4ebb.b,6c42.c
俊	4ebb.b,590b.c
俍	4ebb.b,826f.c
俎	4ecc.b,4e14.c
俏	4ebb.b,8096.c
俐	4ebb.b,5229.c
俑	4ebb.b,752c.c
俔	4ebb.b,898b.c
俗	4ebb.b,8c37.c
俘	4ebb.b,5b5a.c
俙	4ebb.b,5e0c.c
俚	4ebb.b,91cc.c
俛	4ebb.b,514d.c
俜	4ebb.b,7539.c
保	4ebb.b,5446.c
俞	4ebc.d,5216.e
俟	4ebb.b,77e3.c
信	4ebb.b,8a00.c
俣	4ebb.b,5434.c
俤	4ebb.b,5f1f.c
俥	4ebb.b,8eca.c
俦	4ebb.b,5bff.c
俨	4ebb.b,4e25.c
俩	4ebb.b,4e24.c
俪	4ebb.b,4e3d.c
俫	4ebb.b,6765.c
俭	4ebb.b,4f65.c
修	6538.a,5f61.j
俯	4ebb.b,5e9c.c
俱	4ebb.b,5177.c
俳	4ebb.b,975e.c
俵	4ebb.b,8868.c
俶	4ebb.b,53d4.c
俸	4ebb.b,5949.c
俺	4ebb.b,5944.c
俾	4ebb.b,5351.c
倅	4ebb.b,5352.c
倆	4ebb.b,5169.c
倉	4ebd.d,2ff1.4ebd.2ff8.20063.53e3.e
個	4ebb.b,56fa.c
倌	4ebb.b,5b98.c
倍	4ebb.b,5485.c
倏	6538.a,72ac.j
們	4ebb.b,9580.c
倒	4ebb.b,5230.c
倓	4ebb.b,708e.c
倔	4ebb.b,5c48.c
倕	4ebb.b,5782.c
倖	4ebb.b,5e78.c
倘	4ebb.b,5c1a.c
候	4ebb.b,2ff0.4e282ff2.4ebb.4e28.2ff1.30e6.77e2.c#
倚	4ebb.b,5947.c
倜	4ebb.b,5468.c
倞	4ebb.b,4eac.c
借	4ebb.b,6614.c
倡	4ebb.b,660c.c
倣	4ebb.b,653e.c
値	4ebb.b,76f4.c
倥	4ebb.b,7a7a.c
倦	4ebb.b,5377.c
倧	4ebb.b,5b97.c
倨	4ebb.b,5c45.c
倩	4ebb.b,9752.c
倪	4ebb.b,5152.c
倫	4ebb.b,4f96.c
倬	4ebb.b,5353.c
倭	4ebb.b,59d4.c
倮	4ebb.b,679c.c
倴	4ebb.b,5954.c
倶	4ebb.b,5177.c
倹	4ebb.b,3452.c
债	4ebb.b,8d23.c
倻	4ebb.b,8036.c
值	4ebb.b,76f4.c
倾	4ebb.b,9877.c
偁	4ebb.b,722f.c
偃	4ebb.b,533d.c
假	4ebb.b,53da.c
偈	4ebb.b,66f7.c
偉	4ebb.b,97cb.c
偌	4ebb.b,82e5.c
偎	4ebb.b,754f.c
偏	4ebb.b,6241.c
偐	4ebb.b,5f66.c
偓	4ebb.b,5c4b.c
偕	4ebb.b,7686.c
偖	4ebb.b,8005.c
做	4ebb.b,6545.c
停	4ebb.b,4ead.c
偡	4ebb.b,751a.c
健	4ebb.b,5efa.c
偬	4ebb.b,6031.c
偭	4ebb.b,9762.c
偰	4ebb.b,5951.c
偲	4ebb.b,601d.c
側	4ebb.b,5247.c
偵	4ebb.b,8c9e.c
偶	4ebb.b,79ba.c
偷	4ebb.b,4fde.c
偸	4ebb.b,4fde.c
偻	4ebb.b,5a04.c
偽	4ebb.b,7232.c
偾	4ebb.b,8d32.c
偿	4ebb.b,5c1d.c
傀	4ebb.b,9b3c.c
傃	4ebb.b,7d20.c
傅	4ebb.b,5c03.c
傈	4ebb.b,6817.c
傉	4ebb.b,8fb1.c
傍	4ebb.b,65c1.c
傑	4ebb.b,6840.c
傒	4ebb.b,595a.c
傕	4ebb.b,96ba.c
傘	4e2a.a,2ffb.4e2a.2ff1.4ece.4e1b.m
備	4ebb.b,24c07.c
傚	4ebb.b,6548.c
傣	4ebb.b,6cf0.c
傥	4ebb.b,515a.c
傧	4ebb.b,5bbe.c
储	4ebb.b,8bf8.c
傩	4ebb.b,96be.c
催	4ebb.b,5d14.c
傭	4ebb.b,5eb8.c
傲	4ebb.b,6556.c
傳	4ebb.b,5c08.c
傴	4ebb.b,5340.c
債	4ebb.b,8cac.c
傷	4ebb.b,2c037.c
傺	4ebb.b,796d.c
傻	4ebb.b,21569.c
傾	4ebb.b,9803.c
僂	4ebb.b,5a41.c
僅	4ebb.b,5807.c
僇	4ebb.b,7fcf.c
僉	4ebc.d,2ff1.54054ece.e#
僊	4ebb.b,4674.c
働	4ebb.b,52d5.c
僎	4ebb.b,5dfd.c
像	4ebb.b,8c61.c
僑	4ebb.b,55ac.c
僔	4ebb.b,5c0a.c
僕	4ebb.b,83d0.c
僖	4ebb.b,559c.c
僚	4ebb.b,5c1e.c
僞	4ebb.b,7232.c
僣	4ebb.b,66ff.c
僥	4ebb.b,582f.c
僦	4ebb.b,5c31.c
僧	4ebb.b,66fe.c
僬	4ebb.b,7126.c
僭	4ebb.b,6701.c
僮	4ebb.b,7ae5.c
僰	68d8.d,4eba.e
僳	4ebb.b,7c9f.c
僵	4ebb.b,757a.c
價	4ebb.b,8cc8.c
僻	4ebb.b,8f9f.c
儀	4ebb.b,7fa9.c
儁	4ebb.b,96cb.c
儂	4ebb.b,8fb2.c
億	4ebb.b,610f.c
儆	4ebb.b,656c.c
儇	4ebb.b,7758.c
儉	4ebb.b,50c9.c
儋	4ebb.b,8a79.c
儒	4ebb.b,9700.c
儔	4ebb.b,58fd.c
儕	4ebb.b,9f4a.c
儖	4ebb.b,76e3.c
儘	4ebb.b,76e1.c
儚	4ebb.b,5922.c
償	4ebb.b,8cde.c
儡	4ebb.b,757e.c
儦	4ebb.b,9e83.c
優	4ebb.b,6182.c
儲	4ebb.b,8af8.c
儳	4ebb.b,6bda.c
儴	4ebb.b,8944.c
儷	4ebb.b,9e97.c
儺	4ebb.b,96e3.c
儻	4ebb.b,9ee8.c
儼	4ebb.b,56b4.c
儿	4e3f.b,4e5a.c
兀	4e00.d,513f.e
允	53b6.d,513f.e
元	4e8c.d,513f.e
兄	53e3.d,513f.e
充	20ad3.d,513f.e
兆	51ab.b,2ff0.51ab.2ffa.513f.2ff1.4e3f.4e36.c
兇	51f6.d,513f.e
先	20092.d,513f.e
光	2e8c.d,5140.e
克	53e4.d,513f.e
兌	3563.d,513f.e
免	2e88.d,2ff1.2e88.2ffb.5b.31.3a.5d.2ff8.4e3f.4e5a.53e3.e
兎	4e3f.d,2ff1.4e3f.2ff7.2ffb.2ff8.4e3f.4e5a.53e3.4e36.e
児	65e7.d,513f.e
兑	4e37.d,5144.e
兒	81fc.d,513f.e
兔	514d.a,4e36.i
兕	51f9.d,513f.e
兖	4ea0.d,514a.e
党	9fb8.d,5144.e
兜	2ff1.2ff2.23.28.4e3f.200ca.29.767d.30b3.513f.d,513f.e
兢	514b.b,514b.c
入	4e40.a,4e3f.k
全	4eba.d,738b.e
兩	4e05.a,2ffb.4e05.2ff5.5182.204dc.m
兪	204db.d,2ff1.204db.2ff0.2e9d.5ddc.e
八	4e3f.b,4e40.c
公	516b.d,53b6.e
六	4ea0.d,516b.e
兮	516b.d,4e02.e
兰	4e37.d,4e09.e
共	9fb7.d,516b.e
关	4491.d,5927.e
兴	2d544.d,2ff1.4e00516b.e#
兵	4e18.d,516b.e
其	2ff1.2ff4.9fb7.4e8c.516b.d,516b.e
具	2ff1.2ff4.20003.4e09.516b.d,516b.e
典	2ff3.2ffb.3022.2053c.4e00.516b.d,2ff1.4e00516b.e#
兹	4e37.d,2b829.e
养	4491.d,2ff1.592b2ff3.4491.592b.2ff0.4e3f.4e28.e#
兼	4491.d,2ff1.4491.2ffb.3022.2ff1.2e95.516b.e
兽	2c3bf.d,20b9b.e
冀	5317.d,7570.e
冁	5355.b,5c55.c
冂	5182.a
内	4eba.a,5182.m
円	5182.a,4e04.g
冈	5182.a,4e42.g
冉	5b.3a.2d.31.5d.4e28.a,2ffb.5b.3a.2d.31.5d.4e28.2ff4.2ffb.5182.4e00.4e00.m
冊	2ffb.2ff5.2e86.3022.4e00.a,4e00.m
册	2ffb.2ff0.2e86.2e86.4e00.a,4e00.m
再	4e00.d,5189.e
冏	5182.a,3563.g
冐	5183.d,2e9d.e
冑	7531.d,5183.e
冒	5183.d,76ee.e
冓	5b.31.3a.2d.31.5d.4e28.a,2ffb.5b.31.3a.2d.31.5d.4e28.2ff1.2000e.5184.m
冔	5183.d,5401.e
冕	5183.d,514d.e
冖	5196.a
冗	5196.d,51e0.e
写	5196.d,4e0e.e
军	5196.d,8f66.e
农	2ff8.2ffb.4e3f.5196.30020.a,30020.j
冠	5196.d,3774.e
冢	5196.d,8c56.e
冤	5196.d,5154.e
冥	5196.d,6617.e
冦	5196.d,2ff1.5196.2ffa.5143.6534.e
冨	5196.d,7550.e
冩	5196.d,8204.e
冪	5196.d,5e55.e
冫	4e36.d,31c0.e
冬	5902.d,2e80.e
冮	51ab.b,5de5.c
冯	51ab.b,9a6c.c
冰	51ab.b,6c34.c
冱	51ab.b,4e92.c
冲	51ab.b,4e2d.c
决	51ab.b,592c.c
冴	51ab.b,7259.c
况	51ab.b,5144.c
冶	51ab.b,53f0.c
冷	51ab.b,4ee4.c
冻	51ab.b,4e1c.c
冼	51ab.b,5148.c
冽	51ab.b,5217.c
净	51ab.b,4e89.c
凄	51ab.b,59bb.c
凅	51ab.b,56fa.c
准	51ab.b,96b9.c
凇	51ab.b,677e.c
凉	51ab.b,4eac.c
凋	51ab.b,5468.c
凌	51ab.b,590c.c
凍	51ab.b,6771.c
减	51ab.b,54b8.c
凑	51ab.b,594f.c
凓	51ab.b,6817.c
凖	51c6.d,5341.e
凘	51ab.b,65af.c
凛	51ab.b,7980.c
凜	51ab.b,7a1f.c
凝	51ab.b,7591.c
几	51e0.a
凡	51e0.a,4e36.g
凤	51e0.a,53c8.g
処	5902.a,51e0.l
凧	51e0.a,5dfe.g
凩	51e0.a,6728.g
凪	51e0.a,6b62.g
凫	4e3f.d,2ff1.2ff3.4e3f.2ff4.23.28.2d.200cc.31c9.29.4e36.51e051e0.e#
凭	4efb.d,51e0.e
凯	5c82.b,51e0.c
凰	51e0.a,7687.g
凱	8c48.b,51e0.c
凳	767b.d,51e0.e
凵	51f5.a
凶	51f5.a,4e42.h
凸	51f8.a
凹	51f9.a
出	5c6e.d,51f5.e
击	30001.d,51f5.e
凼	51f5.a,6c34.h
函	5b.3a.2d.31.5d.4e86.a,2ffb.5b.3a.2d.31.5d.4e86.2ff6.51f5.2ff0.51ab.2ff1.4e3f.4e36.m
凾	5b.3a.2d.31.5d.4e86.a,2ffb.5b.3a.2d.31.5d.4e86.2ff6.51f5.53f9.m
凿	4e1a.d,2ff1.4e1a.2ff6.51f5.22189.e
刀	200cc.a,4e3f.k
刁	200cc.a,31c0.k
刂	4e28.b,4e85.c
刃	200cc.a,2cf00.k
刄	5200.a,4e40.m
分	516b.d,5200.e
切	4e03.b,5200.c
刈	4e42.b,5202.c
刊	5e72.b,5202.c
刋	5343.b,5202.c
刍	2e88.d,2b739.e
刎	52ff.b,5202.c
刑	5f00.b,5202.c
划	6208.b,5202.c
刔	592c.b,5202.c
刖	6708.b,5202.c
列	6b79.b,5202.c
刘	6587.b,5202.c
则	8d1d.b,5202.c
刚	5188.b,5202.c
创	4ed3.b,5202.c
初	8864.b,5200.c
删	518c.b,5202.c
判	534a.b,5202.c
別	20ba0.b,5202.c
刧	53bb.b,5200.c
刨	5305.b,5202.c
利	79be.b,5202.c
刪	518c.b,5202.c
别	53e6.b,5202.c
刬	620b.b,5202.c
刭	22016.b,5202.c
刮	820c.b,5202.c
到	81f3.b,5202.c
刳	5938.b,5202.c
制	2ff0.2ffb.725b.5182.5202.b,5202.c
刷	21c2f.b,5202.c
券	9fb9.d,5200.e
刹	6740.b,5202.c
刺	673f.b,5202.c
刻	4ea5.b,5202.c
刽	4f1a.b,5202.c
刿	5c81.b,5202.c
剀	5c82.b,5202.c
剁	6735.b,5202.c
剂	9f50.b,5202.c
剃	5f1f.b,5202.c
剄	5de0.b,5202.c
剅	8c46.b,5202.c
則	8c9d.b,5202.c
削	8096.b,5202.c
剋	514b.a,5202.l
剌	675f.b,5202.c
前	4491.d,5216.e
剏	5e76.b,5203.c
剐	5459.b,5202.c
剑	4f65.b,5202.c
剔	6613.b,5202.c
剕	975e.b,5202.c
剖	5485.b,5202.c
剛	5ca1.b,5202.c
剜	5b9b.b,5202.c
剞	5947.b,5202.c
剟	53d5.b,5202.c
剡	708e.b,5202.c
剣	3452.b,5202.c
剤	6589.b,5202.c
剥	5f55.b,5202.c
剧	5c45.b,5202.c
剩	4e57.b,5202.c
剪	524d.d,5200.e
副	7550.b,5202.c
剰	4e57.b,5202.c
剱	3452.b,5203.c
割	5bb3.b,5202.c
剳	8345.b,5202.c
剴	8c48.b,5202.c
創	5009.b,5202.c
剽	7968.b,5202.c
剿	5de2.b,5202.c
劁	7126.b,5202.c
劂	53a5.b,5202.c
劃	756b.b,5202.c
劄	7b54.b,5202.c
劇	8c66.b,5202.c
劈	8f9f.d,5200.e
劉	2896b.b,5202.c
劍	50c9.b,5202.c
劐	84a6.b,5202.c
劑	9f4a.b,5202.c
劒	50c9.b,5203.c
劓	9f3b.b,5202.c
劔	50c9.b,5203.c
力	4e3f.a,200cc.m
劝	53c8.b,529b.c
办	2ff0.2ff9.529b.4e36.4e36.b,4e36.c
功	5de5.b,529b.c
加	529b.b,53e3.c
务	6535.d,529b.e
劢	4e07.b,529b.c
劣	5c11.d,529b.e
动	4e91.b,529b.c
助	4e14.b,529b.c
努	5974.d,529b.e
劫	53bb.b,529b.c
劬	53e5.b,529b.c
劭	53ec.b,529b.c
励	5389.b,529b.c
劲	22016.b,529b.c
劳	2b1e6.d,529b.e
労	300ee.d,529b.e
劵	9fb9.d,529b.e
効	4ea4.b,529b.c
劼	5409.b,529b.c
劾	4ea5.b,529b.c
势	6267.d,529b.e
勁	5de0.b,529b.c
勃	5b5b.b,529b.c
勅	675f.b,529b.c
勇	752c.d,529b.e
勉	514d.a,529b.l
勋	5458.b,529b.c
勍	4eac.b,529b.c
勐	5b5f.b,529b.c
勒	9769.b,529b.c
勔	9762.b,529b.c
動	91cd.b,529b.c
勖	5192.b,529b.c
勗	65e5.d,52a9.e
勘	751a.b,529b.c
務	77db.b,52a1.c
勚	8d33.b,529b.c
勝	6708.b,52b5.c
勞	241fe.d,529b.e
募	83ab.d,529b.e
勠	7fcf.b,529b.c
勢	57f6.d,529b.e
勣	8cac.b,529b.c
勤	5807.b,529b.c
勦	5de2.b,529b.c
勧	2e976.b,529b.c
勰	52a6.b,601d.c
勲	52d5.d,706c.e
勳	718f.b,529b.c
勵	53b2.b,529b.c
勸	96da.b,529b.c
勹	4e3f.b,200cc.c
勺	52f9.a,4e36.k
勾	52f9.a,53b6.k
勿	52f9.a,2ff9.52f9.2ff0.4e3f.4e3f.k
匀	52f9.a,51ab.k
匁	2ffb.2ff9.52f9.4e3f.4e40.a,4e40.m
匂	52f9.a,5315.k
包	5b.6c.2c.6c.2c.2e.5d.52f9.a,5df3.m
匆	52f9.a,2ff9.52f9.2ffb.2ff0.4e3f.4e3f.4e36.k
匈	52f9.a,2ff9.52f9.2ffa.200ca.4e42.k
匍	52f9.a,752b.k
匏	5938.b,5305.c
匐	52f9.a,7550.k
匕	4e5a.a,4e3f.l
化	4ebb.b,2090e.c
北	4e8c.b,2ff0.4e285315.c#
匙	662f.a,5315.l
匚	531a.a
匜	531a.a,4e5f.i
匝	531a.a,5dfe.i
匠	531a.a,65a4.i
匡	531a.a,738b.i
匣	531a.a,7532.i
匦	531a.a,8f68.i
匪	531a.a,975e.i
匮	531a.a,8d35.i
匯	531a.a,6dee.i
匱	531a.a,8cb4.i
匳	531a.a,50c9.i
匸	4e00.d,200ca.e
匹	531a.a,513f.i
区	531a.a,4e42.i
医	531a.a,77e2.i
匼	531a.a,5408.i
匾	531a.a,6241.i
匿	531a.a,82e5.i
區	531a.a,54c1.i
十	4e28.a,4e00.m
千	4e3f.d,5341.e
卅	3023.a,4e00.m
卆	4e5d.d,5341.e
升	2ffb.2ff0.3002a.4e28.4e00.a,4e00.m
午	20089.d,5341.e
卉	5341.d,5efe.e
半	2e8c.a,4e8c.m
卍	31c5.a,23.28.4e28.2d.4e00.4e28.29.m
华	5316.d,5341.e
协	5341.b,529e.c
卑	4e3f.d,5351.e
卒	20143.d,5341.e
卓	2e8a.d,65e9.e
協	5341.b,52a6.c
单	4e37.d,2ff1.4e37.2ffb.7532.4e00.e
卖	5341.d,4e70.e
南	5341.d,2ff1.5341.2ff5.5182.22189.e
単	2d544.d,2ff1.2d544.2ffb.7532.4e00.e
博	5341.b,5c03.c
卜	4e28.b,4e36.c
卞	4ea0.d,535c.e
卟	53e3.b,535c.c
占	2e8a.d,53e3.e
卡	4e0a.d,535c.e
卢	2e8a.d,5c38.e
卣	2e8a.d,56d9.e
卤	2e8a.d,9fb1.e
卦	572d.b,535c.c
卧	81e3.b,535c.c
卩	5369.a
卫	200cc.d,4e04.e
卬	23.28.4e3f.200ca.29.b,5369.c
卮	2008b.a,5df3.j
卯	31378.b,5200.c
印	20009.b,5369.c
危	2e88.d,5384.e
即	2ff0.2ff8.22033.4e36.5369.b,5369.c
却	53bb.b,5369.c
卵	20091.b,536a.c
